fname,lname,age,exercise,hours,grade,address,hours_normalizada,gender_male
Ivor,Arnold,19,4,20,100.0,"990 Brookside Street , West Warwick, RI 02893",1.0,1
Devin,Jacobs,14,3,14,98.1,"7482 E. Mayfield Drive , Huntington, NY 11743",0.7000000000000001,1
Rebekah,Brock,16,2,5,68.9,"Delray Beach, FL 33445, 925 Fairview Lane ",0.25,0
Cameran,Sears,14,4,8,75.4,"8430 Richardson St. , Natick, MA 01760",0.4,0
Norman,Cunningham,17,2,10,76.8,"Land O Lakes, FL 34639, 70 E. Lake Forest Dr. ",0.5,1
Lenore,Copeland,14,4,8,74.0,"7453 West King St. , Longview, TX 75604",0.4,0
Keelie,Guerrero,15,1,12,81.0,"240 Ridge St. , Wheaton, IL 60187",0.6000000000000001,0
Hilel,Hamilton,15,2,17,95.2,"7186 E. Cobblestone Rd. , Saint Louis, MO 63109",0.8500000000000001,1
Dolan,Ford,14,3,3,64.2,"12 West Roehampton Ave. , Round Lake, IL 60073",0.15000000000000002,1
Rhea,Melton,18,5,12,95.0,"993 River St. , New Windsor, NY 12553",0.6000000000000001,0
Fulton,Castaneda,14,3,10,71.2,"72 Grove Ave. , Hartselle, AL 35640",0.5,1
Kiayada,Bullock,18,3,11,74.9,"Lapeer, MI 48446, 974 Willow Rd. ",0.55,0
Aurelia,Clayton,14,5,3,72.1,"650 Elmwood Street , North Andover, MA 01845",0.15000000000000002,0
Nero,Klein,18,2,10,87.8,"Severn, MD 21144, 3 Old Depot Street ",0.5,1
Aladdin,Chambers,19,4,11,82.6,"7691 S. Corona Street , Antioch, TN 37013",0.55,1
Beau,Goff,19,2,15,85.1,"Endicott, NY 13760, 7171 E. Livingston Lane ",0.75,1
Octavius,Walker,15,2,11,81.3,"83 Howard Ave. , Bettendorf, IA 52722",0.55,1
Allen,Livingston,18,5,13,89.4,"664 Plumb Branch Lane , Annapolis, MD 21401",0.65,1
Basil,Fuller,16,3,9,86.4,"563 Coffee Street , Riverview, FL 33569",0.45,1
Reese,Kline,16,4,11,83.5,"91 Constitution St. , Oceanside, NY 11572",0.55,1
Tate,Dunlap,17,2,6,67.7,"796 Sunnyslope St. , Copperas Cove, TX 76522",0.30000000000000004,1
Jonah,Sosa,14,5,12,89.9,"8789 Lawrence Dr. , Evanston, IL 60201",0.6000000000000001,1
Ingrid,Harvey,16,5,5,72.6,"Longwood, FL 32779, 180 Lancaster St. ",0.25,0
Tanner,Vaughn,17,4,11,89.1,"Oakland Gardens, NY 11364, 18 West Street ",0.55,1
Oleg,Mooney,16,3,10,71.3,"7072 NW. Columbia Street , Winter Haven, FL 33880",0.5,1
Piper,Lowery,19,2,5,61.4,"West Deptford, NJ 08096, 210 E. Grand St. ",0.25,0
Genevieve,Adkins,15,1,8,67.3,"Winter Garden, FL 34787, 79 Shub Farm Lane ",0.4,0
Lilah,Roman,19,4,9,85.9,"New Kensington, PA 15068, 499 Tailwater Ave. ",0.45,0
Illiana,Thompson,15,3,17,86.0,"584 Bowman Drive , Clementon, NJ 08021",0.8500000000000001,0
Warren,Pope,18,4,5,76.3,"83 Tanglewood Street , Helena, MT 59601",0.25,1
Regan,Foley,16,2,9,77.4,"7705 Cambridge Street , Coventry, RI 02816",0.45,0
Justin,Morris,19,5,10,77.5,"718 School Ave. , Mebane, NC 27302",0.5,1
Isaiah,Patrick,19,4,3,65.3,"Nottingham, MD 21236, 363 Church Lane ",0.15000000000000002,1
Daryl,Benson,19,1,18,93.8,"Augusta, GA 30906, 392 E. Blackburn Street ",0.9,0
Barbara,Berger,16,3,12,82.7,"Irmo, SC 29063, 7296 4th Road ",0.6000000000000001,0
Christine,Briggs,14,5,18,91.9,"901 Shirley Ave. , Uniondale, NY 11553",0.9,0
Iola,Bowers,19,3,11,88.4,"Hopkins, MN 55343, 786 Valley View St. ",0.55,0
Lars,Oconnor,18,4,8,67.9,"Hanover, PA 17331, 62 Shub Farm Street ",0.4,1
Jaden,Maldonado,16,4,10,84.5,"3 Lakewood St. , Englewood, NJ 07631",0.5,0
Signe,Lopez,18,2,13,76.7,"Media, PA 19063, 56 University St. ",0.65,0
Deanna,Warren,19,1,9,83.2,"Hackensack, NJ 07601, 8405 Depot Drive ",0.45,0
Quemby,Justice,14,2,17,100.0,"Bayonne, NJ 07002, 187 South Surrey Street ",0.8500000000000001,0
Shafira,Guthrie,17,4,12,85.3,"893 Green Hill Street , Butler, PA 16001",0.6000000000000001,0
Ariana,Pacheco,17,1,5,70.9,"259 West Poplar St. , Ballston Spa, NY 12020",0.25,0
Hoyt,Lyons,16,5,1,71.3,"472 S. Columbia St. , Dubuque, IA 52001",0.05,1
Justin,Holden,18,3,17,83.5,"31 Ohio Lane , Glen Ellyn, IL 60137",0.8500000000000001,1
Phelan,Rich,16,1,6,74.9,"156 Manhattan Street , Sicklerville, NJ 08081",0.30000000000000004,1
Honorato,Villarreal,14,1,12,73.3,"751 Oakland Street , Johnston, RI 02919",0.6000000000000001,1
Hashim,Hopkins,18,3,10,77.9,"5 San Juan Street , Palm City, FL 34990",0.5,1
Porter,Ware,14,1,16,90.4,"55 Circle Lane , Bolingbrook, IL 60440",0.8,1
Joan,Sexton,18,5,18,96.6,"9651 Fairway Drive , Thornton, CO 80241",0.9,0
Alexa,Gutierrez,17,4,6,81.2,"Ponte Vedra Beach, FL 32082, 32 S. Marconi Street ",0.30000000000000004,0
Sean,Molina,17,1,8,67.7,"64 S. Talbot St. , Land O Lakes, FL 34639",0.4,1
Lucius,Herrera,14,2,19,88.0,"7052 Myrtle Ave. , Hampton, VA 23666",0.9500000000000001,1
Sydnee,Campbell,18,2,15,99.4,"7749 53rd Rd. , Chandler, AZ 85224",0.75,0
Allistair,Rosales,14,4,3,67.0,"851 S. Sherwood Lane , Barrington, IL 60010",0.15000000000000002,1
Alyssa,Craig,19,5,11,93.0,"Fredericksburg, VA 22405, 95 West Park Ave. ",0.55,0
Cody,Lara,18,1,6,69.0,"55 S. Wild Horse Circle , Jamestown, NY 14701",0.30000000000000004,1
Bernard,Mcconnell,14,2,10,78.3,"14 Rockcrest St. , Fremont, OH 43420",0.5,1
Jonah,Mckinney,15,2,11,74.9,"842 East Green Lake Street , Fenton, MI 48430",0.55,1
Yen,Cooke,14,4,11,87.9,"Maplewood, NJ 07040, 8259 Illinois Street ",0.55,0
Cassidy,Hughes,15,3,17,92.0,"Nicholasville, KY 40356, 237 Lake Street ",0.8500000000000001,0
Gisela,Johnston,19,1,8,68.0,"379 Rose Drive , Lake Jackson, TX 77566",0.4,0
Yetta,Howell,17,3,13,89.2,"Fort Lauderdale, FL 33308, 769 Primrose St. ",0.65,0
Gabriel,Morton,16,2,15,91.3,"323 Arcadia Drive , Vineland, NJ 08360",0.75,1
Sage,Cleveland,19,2,20,100.0,"522 Woodside Street , Torrington, CT 06790",1.0,0
Shannon,Key,15,1,11,83.7,"468 North San Carlos Rd. , Hallandale, FL 33009",0.55,0
Sigourney,Mitchell,14,2,12,82.5,"Hackettstown, NJ 07840, 8870 West Heather Lane ",0.6000000000000001,0
Adrienne,Klein,18,3,12,77.3,"Helena, MT 59601, 709 Constitution Avenue ",0.6000000000000001,0
Chaney,Hoffman,14,3,13,93.6,"423 Cambridge Circle , Chardon, OH 44024",0.65,1
Fritz,Park,14,2,18,93.2,"686 Elizabeth Ave. , Brunswick, GA 31525",0.9,1
Clinton,Donaldson,16,5,10,88.4,"18 North Rock Maple Drive , Oviedo, FL 32765",0.5,1
Lara,Haley,17,5,12,95.6,"81 Catherine Lane , Amarillo, TX 79106",0.6000000000000001,0
Sophia,Gordon,19,4,17,100.0,"54 Saxton Lane , Bowie, MD 20715",0.8500000000000001,0
Kaye,Howard,19,5,13,94.9,"9951 Lincoln St. , Toms River, NJ 08753",0.65,0
Quinlan,Rollins,15,5,8,73.3,"8821 Young Ave. , Jupiter, FL 33458",0.4,1
Xanthus,Barlow,19,5,16,95.5,"681 Shipley Drive , Thornton, CO 80241",0.8,1
Hamilton,Terrell,15,5,16,96.6,"9620 Brewery Ave. , Saint Albans, NY 11412",0.8,1
Zeus,Ratliff,14,2,16,88.8,"477 Bellevue St. , The Villages, FL 32162",0.8,1
Valentine,Osborne,19,5,12,92.2,"Alliance, OH 44601, 7369 Border St. ",0.6000000000000001,1
Zahir,Watkins,14,2,14,92.0,"Detroit, MI 48205, 7059 Hill Field Drive ",0.7000000000000001,1
Debra,Wilkerson,16,4,5,66.3,"Clayton, NC 27520, 49 Tanglewood Lane ",0.25,0
Clio,Wilson,14,1,5,65.3,"South Portland, ME 04106, 7717 North Rockwell Road ",0.25,0
Cathleen,Hayden,18,4,3,73.4,"Bardstown, KY 40004, 8532 Young Street ",0.15000000000000002,0
Yolanda,Vaughan,14,2,15,94.0,"9449 High Ridge Drive , Media, PA 19063",0.75,0
Guinevere,Romero,18,5,14,84.2,"Fair Lawn, NJ 07410, 8428 Middle River Dr. ",0.7000000000000001,0
Keelie,Rice,19,4,9,88.4,"Grand Haven, MI 49417, 384 Canal Dr. ",0.45,0
Bethany,Sullivan,15,3,9,73.1,"52 Magnolia Ave. , Johnson City, TN 37601",0.45,0
Salvador,Gray,14,1,13,84.2,"278 Manchester Avenue , Winchester, VA 22601",0.65,1
Violet,Jennings,14,1,5,62.6,"Dalton, GA 30721, 9130 Greenrose Court ",0.25,0
Lewis,Jones,15,5,11,92.6,"471 W. Lawrence Drive , Newtown, PA 18940",0.55,1
Lunea,Mcfadden,17,1,17,91.6,"Dyersburg, TN 38024, 756 East Bohemia Ave. ",0.8500000000000001,0
Shaeleigh,Clayton,19,2,12,92.4,"Virginia Beach, VA 23451, 507 Campfire Ave. ",0.6000000000000001,0
Nathan,Payne,15,1,8,79.1,"26 Pheasant Street , Sicklerville, NJ 08081",0.4,1
Stella,Smith,14,1,6,76.2,"408 Park St. , Lindenhurst, NY 11757",0.30000000000000004,0
Kelly,Shannon,18,5,14,90.9,"96 Oxford St. , Chicago Heights, IL 60411",0.7000000000000001,1
Yael,Mcdowell,18,3,16,85.2,"Austin, MN 55912, 22 State Ave. ",0.8,0
Zena,Schultz,19,3,12,80.1,"695 Logan Ave. , Natchez, MS 39120",0.6000000000000001,0
Chaney,Harrington,19,4,11,89.3,"660 Wood Road , Danvers, MA 01923",0.55,1
Conan,Wall,19,3,6,66.8,"6 Adams Street , Huntington Station, NY 11746",0.30000000000000004,1
Jamalia,Bowman,16,1,13,77.8,"Elk Grove Village, IL 60007, 580 Pin Oak Rd. ",0.65,0
Shana,Castro,14,1,14,95.0,"48 Market Dr. , Hampton, VA 23666",0.7000000000000001,0
Merrill,Duran,17,2,10,76.3,"Spring Hill, FL 34608, 799 Fairview Street ",0.5,1
Gregory,Lawrence,19,3,14,86.8,"328 Magnolia Drive , Augusta, GA 30906",0.7000000000000001,1
Rebecca,Bird,19,2,7,82.5,"Green Bay, WI 54302, 9990 Mammoth Ave. ",0.35000000000000003,0
Sheila,Koch,15,5,13,97.1,"Lake Charles, LA 70605, 9164 Elmwood St. ",0.65,0
Dane,Flynn,18,5,12,87.4,"884 Pine Street , Hartford, CT 06106",0.6000000000000001,1
Connor,Salas,19,5,17,90.7,"78 East Albany St. , Middletown, CT 06457",0.8500000000000001,1
Baxter,Hardy,14,5,9,75.1,"57 East Queen Rd. , Passaic, NJ 07055",0.45,1
Jorden,Sharp,17,4,12,90.2,"702 1st Street , Arlington Heights, IL 60004",0.6000000000000001,0
Hu,Weber,17,3,9,84.2,"9707 Courtland Lane , Danvers, MA 01923",0.45,1
Maite,Walters,16,3,10,74.0,"78 Richardson Drive , Wantagh, NY 11793",0.5,0
Alfreda,Mays,15,4,7,71.6,"Drexel Hill, PA 19026, 53 Nut Swamp Ave. ",0.35000000000000003,0
Dexter,Wells,16,3,5,68.9,"8830 Blue Spring St. , Bolingbrook, IL 60440",0.25,1
Sawyer,Hart,19,4,8,69.4,"8713 W. Swanson Court , Oklahoma City, OK 73112",0.4,1
Maggie,Rich,19,2,11,77.3,"8429 North Pacific Rd. , Baltimore, MD 21206",0.55,0
Hashim,Callahan,16,1,11,71.8,"434 Honey Creek Dr. , Wasilla, AK 99654",0.55,1
Darius,Gilbert,19,3,9,86.3,"8454 Mill Street , Rolla, MO 65401",0.45,1
Rosalyn,Le,18,1,14,88.3,"8201 Greenview Street , Sykesville, MD 21784",0.7000000000000001,0
Jordan,Holt,18,3,4,72.1,"2 Essex St. , Fayetteville, NC 28303",0.2,1
Chase,Flynn,19,3,7,81.1,"307 Sherwood Ave. , Iowa City, IA 52240",0.35000000000000003,1
Jane,Welch,15,3,16,93.7,"7055 East Grant St. , Nashua, NH 03060",0.8,0
Grant,Strickland,19,1,6,79.0,"8268 Depot Ave. , Jacksonville Beach, FL 32250",0.30000000000000004,1
Darius,Miranda,19,1,16,93.3,"455 Columbia St. , Davenport, IA 52804",0.8,1
Arthur,Pacheco,15,3,14,96.9,"82 South Galvin Circle , Baldwin, NY 11510",0.7000000000000001,1
Hedda,Ramos,16,5,5,82.3,"Goldsboro, NC 27530, 46 SW. Smoky Hollow Street ",0.25,0
Farrah,Palmer,15,5,11,91.3,"2 George Ave. , New Brunswick, NJ 08901",0.55,0
Bree,Weaver,16,4,12,83.3,"North Ridgeville, OH 44039, 9825 Oak Valley St. ",0.6000000000000001,0
Elton,Preston,17,4,20,97.8,"Hanover, PA 17331, 1 Bradford Ave. ",1.0,1
Ciaran,Johns,16,4,15,100.0,"991 Broad Ave. , Bethlehem, PA 18015",0.75,1
Miranda,Le,19,3,10,80.6,"605 Olive Street , East Hartford, CT 06118",0.5,0
Geraldine,Farrell,16,3,10,84.9,"7867 Sierra Road , Shakopee, MN 55379",0.5,0
Callie,Hoffman,15,3,9,71.9,"50 Mayfair Drive , Gloucester, MA 01930",0.45,0
Jelani,Kaufman,14,3,14,94.1,"Millington, TN 38053, 551 Rockaway Lane ",0.7000000000000001,1
Solomon,Rosales,19,3,17,91.1,"7749 SE. Deerfield Drive , Tucker, GA 30084",0.8500000000000001,1
Callie,Washington,17,2,7,77.0,"509 Glenridge Dr. , Warren, MI 48089",0.35000000000000003,0
Carson,Meadows,17,5,8,75.4,"98 Peninsula Avenue , Lombard, IL 60148",0.4,1
Joseph,Mclean,16,1,14,81.8,"31 Heritage Ave. , West Deptford, NJ 08096",0.7000000000000001,1
Britanni,Tucker,19,1,13,89.7,"55 South Glen Creek Lane , Sandusky, OH 44870",0.65,0
Raja,Stuart,14,1,13,82.5,"Iowa City, IA 52240, 36 Wilson Rd. ",0.65,1
Quail,Bonner,18,5,6,68.0,"9 Windsor Ave. , Lacey, WA 98503",0.30000000000000004,0
Dana,Deleon,18,1,14,82.7,"Danville, VA 24540, 68 Miller St. ",0.7000000000000001,0
Evangeline,Cox,14,5,13,88.9,"79 Cross Avenue , Stillwater, MN 55082",0.65,0
Slade,Padilla,17,5,16,93.1,"74 Whitemarsh Lane , Elizabethton, TN 37643",0.8,1
Latifah,Daugherty,18,5,6,81.0,"Sidney, OH 45365, 8316 Bishop Drive ",0.30000000000000004,0
Beverly,Benson,14,4,17,89.7,"7 Hill Field St. , Sicklerville, NJ 08081",0.8500000000000001,0
Solomon,Beach,14,4,13,90.3,"7582 South William Court , Cleveland, TN 37312",0.65,1
Nyssa,George,19,2,10,80.2,"817 North San Pablo Lane , Plainfield, NJ 07060",0.5,0
Lars,David,14,1,16,84.3,"446 SE. Boston Ave. , Absecon, NJ 08205",0.8,1
Halla,Newman,16,3,8,80.5,"Sioux City, IA 51106, 9207 Deerfield St. ",0.4,0
Gay,Wagner,17,4,7,75.0,"7952 Ridgeview Dr. , Fairfield, CT 06824",0.35000000000000003,0
Ariana,Hess,15,4,14,99.1,"9 Green Lake Ave. , West Chester, PA 19380",0.7000000000000001,0
Victor,Mcdonald,15,2,11,76.4,"821 Bellevue Drive , Canonsburg, PA 15317",0.55,1
Jocelyn,Brock,15,2,7,72.7,"Gainesville, VA 20155, 5 Wilson Ave. ",0.35000000000000003,0
Hoyt,Salazar,19,4,14,89.9,"7 East Pulaski Street , Mchenry, IL 60050",0.7000000000000001,1
Mohammad,Drake,18,2,18,99.6,"7038 East Cleveland St. , Milwaukee, WI 53204",0.9,1
Russell,Eaton,17,4,9,73.4,"684 E. Old York St. , Los Angeles, CA 90008",0.45,1
Chava,Carey,18,4,14,91.5,"7894 Bay Meadows Street , North Fort Myers, FL 33917",0.7000000000000001,0
Danielle,Wade,19,2,6,64.3,"Myrtle Beach, SC 29577, 896 Indian Spring Rd. ",0.30000000000000004,0
Hector,Aguilar,14,1,9,68.8,"8 Harvard Rd. , Streamwood, IL 60107",0.45,1
Ocean,Koch,19,4,12,88.0,"678 Sunnyslope St. , Nashville, TN 37205",0.6000000000000001,0
Jescie,Snyder,17,3,5,77.0,"Edison, NJ 08817, 61 South Pawnee Lane ",0.25,0
Ciara,Burris,18,4,14,88.0,"Edison, NJ 08817, 2 El Dorado Drive ",0.7000000000000001,0
Nigel,Morris,16,2,11,77.0,"75 NE. Westminster Street , East Northport, NY 11731",0.55,1
Michelle,Webster,19,1,11,90.3,"740 State Street , Prior Lake, MN 55372",0.55,0
Maris,Holt,14,2,6,68.2,"Stuart, FL 34997, 924 Old Glen Creek Lane ",0.30000000000000004,0
Jarrod,Calderon,19,1,12,79.6,"992 2nd Rd. , Cincinnati, OH 45211",0.6000000000000001,1
Hanna,Rose,14,3,15,90.8,"5 James St. , Meriden, CT 06450",0.75,0
Timon,Goodman,19,4,20,98.0,"116 San Carlos Avenue , Adrian, MI 49221",1.0,1
Ginger,Stevens,18,1,14,84.6,"94 Somerset Lane , Sun City, AZ 85351",0.7000000000000001,0
Nathan,Gonzales,16,1,8,74.3,"893 Sierra Rd. , Waltham, MA 02453",0.4,1
Madaline,Ayala,15,1,8,78.2,"786 Vermont Lane , Ocoee, FL 34761",0.4,0
Dante,Malone,18,4,12,87.3,"7 Squaw Creek Dr. , Ballston Spa, NY 12020",0.6000000000000001,1
Colette,Workman,15,2,12,81.1,"Medford, MA 02155, 357 S. Fieldstone Ave. ",0.6000000000000001,0
Keith,Zimmerman,14,3,10,86.0,"1 Fairway Ave. , Lady Lake, FL 32159",0.5,1
Channing,Stark,16,3,7,65.3,"43 West Addison Street , Emporia, KS 66801",0.35000000000000003,1
Dexter,Knowles,18,5,7,75.2,"Ambler, PA 19002, 93 Schoolhouse Dr. ",0.35000000000000003,1
Kermit,Raymond,17,4,13,90.8,"Mount Holly, NJ 08060, 282 Summit Ave. ",0.65,1
Anthony,Bishop,19,2,5,61.6,"7401 Sherman Ave. , Knoxville, TN 37918",0.25,1
Keaton,Velazquez,14,1,9,72.7,"Loxahatchee, FL 33470, 74 Cypress Court ",0.45,1
Adam,Ray,18,4,8,74.9,"Passaic, NJ 07055, 17 Front Street ",0.4,1
TaShya,Cote,15,5,10,87.5,"154 Holly Court , Hamtramck, MI 48212",0.5,0
Breanna,Silva,16,5,12,86.0,"9412 West Fieldstone Road , Parlin, NJ 08859",0.6000000000000001,0
Xanthus,Schmidt,19,2,12,88.9,"8327 East Ann Street , Elizabethton, TN 37643",0.6000000000000001,1
Audrey,Coffey,19,1,14,90.5,"Deland, FL 32720, 806 Cherry Hill Court ",0.7000000000000001,0
Marshall,Cooke,18,5,13,86.3,"836 Glen Eagles Ave. , Jonesboro, GA 30236",0.65,1
Destiny,Hansen,18,1,17,91.9,"8343 Mayfield St. , Grand Haven, MI 49417",0.8500000000000001,0
Conan,Kirkland,15,5,11,85.2,"296 Glenlake Ave. , Branford, CT 06405",0.55,1
Venus,Navarro,14,1,12,77.0,"Suite 7 , Mount Juliet, TN 37122",0.6000000000000001,0
Naida,Delacruz,17,2,9,70.3,"Westport, CT 06880, 416 Bayport Lane ",0.45,0
Uriah,Cummings,18,3,20,100.0,"Beverly, MA 01915, 7446 Livingston Rd. ",1.0,1
Barry,Mcgowan,16,3,8,69.3,"48 Primrose St. , Hoffman Estates, IL 60169",0.4,1
Hall,Flynn,18,2,6,71.9,"808 E. Kirkland Dr. , Leland, NC 28451",0.30000000000000004,1
Harriet,Harvey,15,3,8,76.1,"8950 E. Grand St. , West Warwick, RI 02893",0.4,0
Christopher,Arnold,19,2,6,77.9,"10 Pearl St. , Duluth, GA 30096",0.30000000000000004,1
Regina,Hays,18,3,13,94.7,"8932 Fulton St. , Schererville, IN 46375",0.65,0
Nicole,Castillo,18,2,8,80.5,"Doylestown, PA 18901, 7746 West Tunnel Court ",0.4,0
Devin,Snider,16,1,12,88.5,"8073 New Avenue , Morgantown, WV 26508",0.6000000000000001,1
Natalie,Delaney,16,4,18,90.8,"949 Lawrence Ave. , Goldsboro, NC 27530",0.9,0
Rahim,Nicholson,16,4,11,76.1,"8411 Galvin Street , Fishers, IN 46037",0.55,1
Teagan,Mullins,15,1,12,91.3,"68 Temple Ave. , Phillipsburg, NJ 08865",0.6000000000000001,0
Jenette,Moon,16,5,12,81.0,"305 Van Dyke Ave. , Apt 9 ",0.6000000000000001,0
Brenna,Morse,17,3,16,89.0,"Bayside, NY 11361, 9221 Bayberry Dr. ",0.8,0
Hayley,Wolf,14,1,10,87.3,"869 Pin Oak Rd. , Newburgh, NY 12550",0.5,0
Allistair,Jenkins,17,2,11,80.8,"77 Applegate Court , Griffin, GA 30223",0.55,1
Jackson,Hester,14,5,11,79.5,"9478 S. Brandywine Street , Boynton Beach, FL 33435",0.55,1
Sylvia,Logan,19,5,9,73.2,"458 Monroe Lane , Bayonne, NJ 07002",0.45,0
Dante,Terrell,14,4,4,63.4,"5 Windsor St. , Reston, VA 20191",0.2,1
Wynne,Herring,15,2,8,71.4,"232 Princeton Ave. , Shirley, NY 11967",0.4,0
Lester,Russell,18,5,14,82.0,"232 West Edgemont Drive , Clinton Township, MI 48035",0.7000000000000001,1
Sage,Donovan,14,4,12,77.4,"486 Aspen St. , Metairie, LA 70001",0.6000000000000001,0
Raja,Cox,14,2,17,90.6,"685 Creek St. , Dublin, GA 31021",0.8500000000000001,1
Ciara,Rivers,17,2,11,86.8,"57 Andover St. , Matthews, NC 28104",0.55,0
Phyllis,Walters,18,4,19,100.0,"Ames, IA 50010, 8571 Tailwater St. ",0.9500000000000001,0
Kennedy,Ryan,15,1,10,83.0,"Johnston, RI 02919, 8 Indian Spring Street ",0.5,1
Shaeleigh,Gallagher,16,2,11,81.7,"401 Railroad St. , Dothan, AL 36301",0.55,0
Rose,Middleton,15,2,20,100.0,"7341 Tailwater Street , Bemidji, MN 56601",1.0,0
Portia,Campbell,18,5,10,80.9,"496 Fairway Street , Glenview, IL 60025",0.5,0
Kasper,Hammond,17,3,10,71.9,"265 Old Fairway Ave. , Winchester, VA 22601",0.5,1
Lamar,Day,17,4,17,95.0,"2 Carriage St. , Calumet City, IL 60409",0.8500000000000001,1
Rylee,Ward,18,2,9,88.4,"Halethorpe, MD 21227, 86 Andover Street ",0.45,0
Kasimir,Peck,15,4,4,75.0,"Covington, GA 30014, 386 Wood Rd. ",0.2,1
Xyla,Roman,14,3,16,87.9,"Middle River, MD 21220, 13 East Somerset Drive ",0.8,0
Gavin,Deleon,16,5,9,77.9,"State College, PA 16801, 997 Crescent Lane ",0.45,1
Shellie,Moreno,14,1,13,84.4,"7752 Lantern St. , Rockville Centre, NY 11570",0.65,0
Lydia,Oneal,14,2,5,78.1,"299 Valley View Street , Auburn, NY 13021",0.25,0
Cain,Russo,19,1,10,83.6,"1 Berkshire Ave. , Colorado Springs, CO 80911",0.5,1
Megan,Kennedy,16,4,11,90.4,"Yorktown Heights, NY 10598, 112 Oak Valley Road ",0.55,0
Noah,Cote,14,2,13,84.3,"316 Taylor Ave. , Elyria, OH 44035",0.65,1
Wynne,Downs,18,5,3,76.0,"68 Myers Ave. , Bowie, MD 20715",0.15000000000000002,0
Caldwell,Shaw,14,3,15,95.3,"Oswego, NY 13126, 435 Lake View St. ",0.75,1
Keith,Dominguez,14,3,9,84.2,"53 Woodland Avenue , Dunedin, FL 34698",0.45,1
Alma,Hewitt,17,4,15,99.3,"Fort Walton Beach, FL 32547, 283 Rock Maple Rd. ",0.75,0
